word,frequency
pickers.,2
night),2
worst...,2
critic,2
specifying,2
inquired,2
nailing,2
mediapad,2
bs!,2
excludes,2
77,2
heights,2
breadrolls,2
viennas,2
atlist,2
peas,2
re-sign,2
point👌,2
",yes",2
husband.,2
again??,2
"channels,",2
💕💕💕💕,2
unselect,2
gig,2
monstrous,2
mental,2
syncing,2
fried,2
everytime!!,2
tks,2
"tonight,",2
disastrous.,2
babe,2
foreigner,2
tip!!,2
ill.,2
shopping!!!!!,2
settled,2
shoprite.,2
drivers?,2
404,2
deceiving.,2
deluvery,2
order.just,2
wrong....,2
transacting.,2
order!!,2
superstore,2
orchestrated,2
raved,2
needs...,2
"inception,",2
imoroved,2
"estate,",2
gore,2
date....,2
apgrade,2
unattended.,2
follows:,2
"columbine,",2
it...it,2
"quick,efficient",2
trap.,2
revolutionized,2
"miles,",2
ads...,2
"rd,",2
york,2
trustworth,2
reliable...no,2
it👌🏽,2
"supermarkets,",2
tip..,2
use.great,2
universe.,2
actioned,2
"kzn,",2
2days.,2
exhausting.,2
inserting,2
"email/sms,",2
"""upgraded""",2
informative!,2
grat,2
future!,2
easy;,2
wanr,2
unbelievable!,2
service😁,2
considerate.,2
this!!!!!,2
community.,2
experience?,2
odds,2
image.,2
"activate,",2
use:),2
discretion,2
c60,2
app🙏,2
cues,2
tip!!!,2
takealot💖,2
hout,2
pay?,2
youve,2
4days,2
complained.,2
details....,2
so?,2
❤️😍,2
facility?,2
website?,2
grwat,2
"addresses,",2
60s,2
"displayed,",2
"easy,convenient",2
units,2
flaw.,2
lancewood,2
curtains,2
unstalled,2
roll.,2
fabulous!!!!,2
supet,2
van.,2
steak.,2
"some,",2
forwards,2
originals,2
sixty!,2
time....good,2
13:00.,2
camp,2
"""fresh""",2
underwhelming,2
couln't,2
"dinner,",2
covenient.,2
interacted,2
thn,2
expansive,2
smoothe,2
😉🙂,2
billionaire,2
"""tips""",2
patterns,2
doorbells,2
nav,2
fonts,2
spar2u,2
mosquito,2
change!!,2
a5,2
smh.,2
"drama,",2
erased.,2
africa!!,2
singing,2
ones),2
defrost,2
"problem,the",2
moldy.,2
compensated,2
aggravating.,2
mr.d,2
axact,2
"occurs,",2
2-10,2
lowered,2
"""refund",2
onlone,2
categorized.,2
font.,2
predictable,2
driver..,2
to..,2
scented,2
orders!!!,2
patient.,2
lyf,2
"ap,",2
",makes",2
theu,2
cluttered.,2
developer's,2
dissappears,2
thought-out,2
appeared.,2
yesterday's,2
viewed.,2
"opens,",2
followed.,2
"1,2,3",2
frm,2
"alternative"",",2
faster!,2
....not,2
msg.,2
moment!,2
buys.,2
14:36,2
breads,2
"good,fast",2
triggering,2
app🤙,2
hectic.,2
exeptional.,2
"you,keep",2
afordable,2
schedules.,2
app🙏🙏,2
"suddenly,",2
disgusted...,2
santa's,2
mayb,2
stiff,2
ehen,2
ealier,2
shoppinh,2
"reappearing,",2
times:,2
"if,",2
😎😎😎😎,2
r10.,2
biodegradable,2
"today""",2
"locations,",2
"convient,",2
(ie,2
"salads,",2
amount...,2
puzzled,2
",for",2
...if,2
beans.,2
effiecient,2
grey.,2
evn,2
complexes.,2
sofar.,2
"maitland,",2
navigable,2
"easy,get",2
"parents,",2
"street,",2
"colours,",2
"men,",2
misfortune,2
whisky,2
r35...,2
privileged.,2
",to",2
feeling.,2
reliable:),2
knowing.,2
ever...very,2
longbeach,2
onley,2
notch...,2
ftom,2
route.,2
somtyms,2
maitland,2
170,2
basicly,2
sixy60,2
"shop,and",2
💃💃,2
(missing,2
cursor,2
hope.,2
shoes.,2
"sections,",2
dresses,2
"lucky,",2
"large,",2
steering,2
straightforward...,2
switch.,2
𝚢𝚘𝚞,2
slices,2
shredded,2
missing..,2
page?,2
"fuzz,",2
checkers!!!!!,2
"buffers,",2
checkout!,2
guess!,2
"plumstead,",2
expedient,2
+++,2
conveniences,2
soaked,2
times!!,2
upstairs,2
work;,2
year!,2
cobble,2
defeat,2
"service,great",2
kong,2
ordering!!,2
gutted,2
oay,2
iyasebenza,2
lovely!!,2
anyway),2
(that's,2
av,2
"explanation,",2
"reasons,",2
"fake,",2
awesome...i,2
extends,2
credible,2
11:00am,2
adding/removing,2
drom,2
"""recipient",2
guarantees.,2
broke???,2
cons.,2
"""they",2
"apart,",2
fro.,2
symbol,2
suck!!,2
personalize,2
specification,2
refurbished,2
r90,2
rescue,2
danke,2
"meaning,",2
attire,2
uninstall!!!,2
pigs,2
dents,2
(double,2
filed,2
"compensation,",2
micro,2
subs.,2
"""better",2
bery,2
5m,2
instrumental,2
dep,2
navigation).,2
sweet!,2
please!!,2
clients???,2
account???,2
iris,2
empty?,2
humanity,2
"holder,",2
thabk,2
highlands,2
1973,2
much....,2
gateway!,2
anyway).,2
cistomers,2
motor,2
ironic,2
need/want,2
💗💗💗,2
duur,2
amendments,2
orait,2
cant.,2
notch!,2
pedestrian,2
population,2
vulnerable,2
useless!!!!!!,2
mess!!,2
rewarded,2
stores!!!,2
.poor,2
stranger,2
traffic.,2
1x,2
convinient...,2
750ml,2
3.5,2
delived,2
astounding!,2
outrageous,2
divisions,2
lately!,2
something...,2
confusing!!!,2
nag,2
often?,2
boys.,2
fore,2
after-sales,2
toss,2
app..and,2
serviced?,2
accounts!,2
bern,2
app.takealot,2
rectifying,2
heartbeat,2
now.....,2
tray.,2
user...,2
hint,2
financially,2
😔😔,2
selcourt,2
delivered!!,2
"service,u",2
catalog.,2
updating...,2
innovate.,2
improvement...,2
designs,2
export,2
scam!!,2
flight,2
clic,2
bike.,2
"""x"".",2
vereeniging,2
tweak,2
"""has",2
useles,2
production.,2
"""i'm",2
logins.,2
11/2022,2
payments?,2
sandton,2
much...,2
warehouse..,2
excepting,2
willie's,2
...thank,2
zando,2
tune,2
breakdown.,2
"yougart,",2
yougart,2
mother.,2
foned,2
lusanda,2
teeth.,2
pashash,2
mop,2
alarming,2
"products,but",2
themself,2
impeccable!,2
productive.,2
experience!!!!!,2
wellness,2
21/02/2021,2
client's,2
2100.,2
r2000.,2
servicer,2
pop-ups.,2
recommendations.,2
peaceful,2
brakpan,2
belong,2
"comfortable,",2
trampoline,2
stare,2
olways,2
"maybe,",2
also..,2
"app,everything",2
receiveing,2
calendar,2
×,2
durag,2
masive,2
businesses.,2
through!!!,2
loyalty/rewards,2
"24th,",2
convinience.,2
hi..,2
🤙🏽,2
bouquet,2
stages.,2
👉,2
"durban,",2
"speaking,",2
unfamiliar,2
rack,2
chechers,2
tsa,2
whislist,2
photographer,2
fingertips...and,2
r200.,2
parties.,2
negating,2
putting.,2
dismally.,2
perfumes.,2
identification,2
"identification,",2
'special,2
alow,2
crucial.,2
contributing,2
convenient).,2
deal!!,2
"aswell,",2
"every,",2
specifics,2
negligent,2
kinks,2
hassels!,2
pensioners.,2
restocking,2
"fryer,",2
like!,2
"effort,",2
efficent,2
1km.,2
250g,2
monetary,2
verg,2
dineo,2
meaning.,2
pattern,2
googling,2
pickups,2
denny,2
parklands,2
bummer.,2
peri,2
adopt,2
"agent,",2
infinity,2
paperless,2
yeh,2
easy😁,2
hemmingways,2
mind-blowing,2
scratches,2
covid19.,2
ear.,2
relation,2
swellendam,2
hitch.,2
halo,2
",really",2
hoender,2
...i'm,2
starve,2
affect,2
continue?,2
minis!!,2
eb,2
help!!!!!!!!!,2
corners,2
golden,2
"profile""",2
opt-out,2
experience??,2
"wise,",2
downlaod,2
faith.,2
home.takealot,2
tricking,2
doorsteps,2
return/,2
losers,2
pnp!,2
"i""m",2
it.thanks,2
disclosed,2
penalize,2
drywer,2
albums,2
600,2
unduly,2
takelot!!,2
soon!!,2
prawns,2
partnership,2
sak,2
"self,",2
controllers.,2
karen,2
sometimes..,2
bulky,2
hasslle,2
delays!,2
retired,2
revamp.,2
disrespect.,2
estimates,2
umlazi,2
food...i,2
looks.,2
"""filter",2
safricans,2
"love,love,love",2
bob's,2
function!,2
brood,2
stranded.,2
enhancements.,2
beneficial.,2
"cover,",2
suggestion;,2
"window,",2
juggle,2
platform..,2
bonuses,2
customers.you,2
unpolished,2
1h30,2
'anything,2
serviced!,2
functionally,2
"details""",2
use...shopping,2
mote,2
60!!,2
teleurgesteld,2
sins,2
repay,2
..its,2
sino,2
staying.,2
clean...,2
simplistic.,2
hel,2
service.staff,2
minutes?!,2
vetkoek,2
vincent,2
cart!!!,2
lifa,2
ànd,2
voorraad,2
taking.,2
4g,2
stretch,2
@woolies,2
arrow,2
tk,2
dodgy.,2
biz,2
"naturally,",2
lig,2
submit.,2
"""stopped",2
fullest.,2
minder,2
valuable.,2
app...user,2
master.,2
recommend...,2
"2019,",2
vicious,2
"heart,",2
town..,2
"reschedule,",2
possible!!!,2
unannounced,2
sick!,2
wxcellent,2
co.,2
guality,2
about...,2
shop!!!!,2
wiyh,2
bts,2
criteria),2
sameday,2
collet,2
grandkids,2
digitally,2
loved.,2
handed.,2
ebooks.,2
review),2
disconnect,2
labels.,2
awarded,2
r2000+,2
tickets.,2
"lies,",2
oj,2
.overall,2
united,2
app.just,2
transferring,2
5star!,2
dowload,2
"""forget",2
hello.,2
news!,2
"tablet""",2
path,2
🚬,2
succeeded,2
portrayed,2
edition,2
"companies,",2
uj,2
understand?,2
thing).,2
"mine,",2
superb!!,2
woeful,2
🤮,2
"lives,",2
"jams,",2
patrick,2
at!,2
excelllent,2
2/5,2
popia,2
subsequent,2
persist,2
monitoring,2
intervention,2
less!,2
takealotmore,2
"uncomplicated,",2
centurion.,2
2h,2
👌👌👌👌👌👌👌👌👌,2
appreciates,2
panic,2
postal,2
juis,2
routes,2
colour.,2
fiance,2
😂😂😂,2
headboard,2
gouging,2
fab!,2
st.,2
migrate,2
drawn,2
controls,2
making.,2
ethics,2
structured.,2
oudtshoorn,2
manchester,2
infrastructure,2
trolleys,2
tables,2
overs,2
andisiwe,2
bn,2
"compatible,",2
bag?,2
relates,2
cutoff,2
once...,2
nerves,2
shoo,2
conform,2
months?,2
days!!,2
bomb!,2
android's,2
unbeatable!,2
n',2
slightest,2
milnerton,2
underwhelming.,2
rare.,2
disservice.,2
grocerie,2
"pending"".",2
yeee,2
impressively,2
yh,2
disapponted.,2
pple,2
bathroom,2
revenue.,2
addictive..,2
fitted,2
"use,the",2
basson,2
well-oiled,2
pleasurable.,2
endorse,2
thrive,2
time.but,2
"gripe,",2
service😊,2
⭐️,2
mony,2
originally.,2
"utensils,",2
permit,2
hygiene,2
earbud,2
area's.,2
rubber,2
"behold,",2
chargers,2
good;,2
begins,2
credit!!!!!!,2
bloemfontein.,2
klere,2
sa....,2
happiness.,2
makoya,2
"consumables,",2
factors,2
emily,2
2.30pm,2
crunch,2
tshabalala,2
"cake,",2
simplifying,2
sien,2
lasted.,2
boxing,2
"gloves,",2
hp123,2
cartridges.,2
26.5,2
crashing!!!,2
otm,2
👍👏,2
"sufficient,",2
accross,2
sin,2
required...,2
all).,2
delivery:),2
"great,and",2
simplicity.,2
dreadful,2
what??,2
combat,2
diversified,2
arises.,2
stuff..,2
phrases.,2
lifting,2
empower,2
"default,",2
how??,2
everybody's,2
item/product,2
"versatile,",2
inquiries.,2
uneasy,2
ful,2
3items,2
"reputation,",2
"nowhere,",2
kule,2
"question,",2
icon...,2
ibe,2
impilo,2
sales!!,2
pta,2
paranoid,2
coffe,2
ukusebenzisa,2
idiots.,2
1%,2
(mostly,2
wax,2
except.,2
adr,2
"sailing,",2
tutorial,2
grievances.,2
lice,2
hassels.,2
obliged,2
chintsa,2
fee!!!,2
varies,2
qaulify,2
incompetence.,2
understandably,2
keyboards,2
me👌,2
helpful...easy,2
(one),2
🤩🤩🤩🤩,2
product(s).,2
😍😍😍😍😍😍😍😍😍😍😍,2
vd,2
ambitious,2
unloading,2
ss,2
accidents,2
"point,i",2
gym.,2
2months.,2
chronological,2
np,2
manufacturer,2
"kak,",2
far-,2
"mouse,",2
reliably.,2
this......,2
atmosphere,2
r10.00,2
listings.,2
pity!,2
thrill,2
situations.,2
"major,",2
fluctuate,2
apon,2
darling,2
136,2
eveytime,2
expend,2
wth?,2
ugh,2
recovery,2
.but,2
negate,2
undermine,2
investigate.,2
overlays.,2
telnr,2
returns.i,2
parental,2
uncaring,2
knysna.,2
displays.,2
mealie,2
rules.,2
prohibits,2
instantaneous.,2
"set,",2
twice...,2
transaction..,2
lol),2
fluctuating,2
excact,2
rxx.,2
shove,2
duvet,2
whas,2
w.,2
repetition,2
complain...,2
"single,",2
"hopeless,",2
wrong.....,2
whst,2
section...,2
technological,2
void.,2
(almost),2
pronto,2
(why,2
poorest,2
reopens,2
socks!,2
coo,2
advantage.,2
bent,2
nominated,2
"declined,",2
pretend,2
day),2
joined.,2
s9+,2
ukuthi,2
hand!,2
dikeledi,2
retyping,2
jeffreys,2
relevance.,2
"bent,",2
chipped,2
ah,2
iwas,2
vegg,2
wor,2
🥰🥰🥰🥰🥰,2
buck.,2
valid?,2
itz,2
divice,2
"folders,",2
btw),2
delivers!,2
unprofessional...,2
vertical,2
dispatched.,2
communicative,2
traders,2
mo,2
marketplace.,2
letdown,2
casse,2
"p10,",2
wring,2
five.,2
medium,2
reason...,2
"samsung,",2
lee,2
disrespectful.,2
b.,2
instagram,2
"ride,",2
"monthly,",2
"like""",2
fabulastic,2
"safely,",2
garage,2
exvellent,2
jaw,2
product).,2
working????,2
river,2
galore,2
wondeful,2
teaspoon,2
(thanks,2
uma,2
"scanner,",2
circumstance,2
sturdy,2
regularly),2
roshnee,2
nope.,2
everybody!,2
"ranges,",2
dissappoints,2
card???,2
bee.,2
benefits?,2
lifesaver!,2
duped,2
30+,2
order/delivery,2
beveel,2
stunned,2
vriendelik.,2
reason!,2
"destination,",2
sources,2
criminals,2
search!,2
deliveryman,2
"wide,",2
faded,2
description?,2
try...,2
"watches,",2
"it"".",2
"""where",2
spoiling,2
git,2
loging,2
polluted,2
❤👍,2
ing,2
nivea,2
way),2
"improve,",2
time's,2
made-up,2
itself!,2
"original,",2
"warranty,",2
booked.,2
joko,2
6-8,2
"kitchen,",2
"wishlists,",2
",works",2
assist?,2
horse,2
it🙏,2
"recommendations,",2
16:30,2
snag,2
me),2
cover.,2
delivery.i,2
excellent!!!!!!,2
💫💫💫💫💫,2
",,,",2
inflation,2
trap,2
gp,2
iz,2
replaced!,2
constructive,2
steel,2
grip,2
dame,2
earphones.,2
"""digital",2
"accessories,",2
resellers,2
evaluating,2
example...,2
20km,2
isint,2
bad.i,2
...they,2
",app",2
👋,2
vars,2
themed,2
yho,2
😕.,2
still...,2
kathu,2
tiresome,2
permits,2
time;,2
wilro,2
"remember,",2
b-day,2
'you,2
"prime,",2
💕💕,2
"require,",2
embarrased,2
markup.,2
tests,2
christmas!,2
sketch.,2
reminding,2
rustenburg,2
supurb,2
"fantastic,the",2
100%good,2
"chocolate,",2
satisfied...,2
awsomeness,2
honestly!!!,2
best👍,2
"""deals""",2
credit?,2
rylands.,2
hellopeter.,2
bell,2
accomodating,2
"worms,",2
(cod),2
inlog,2
descriptive.,2
capacity!,2
areas...,2
2024:,2
plugs,2
👆,2
excitement.,2
(from,2
passion.,2
there....,2
too....,2
efficient.....,2
score.,2
list),2
packed!,2
needle,2
friends.....,2
fly....,2
ship.,2
committing,2
abused,2
cancle,2
peace.,2
r175,2
though).,2
total),2
eva.,2
integrated.,2
"""window",2
somuch,2
north.,2
enough?,2
circumstances.,2
8am.,2
"presents,",2
more:,2
gamble,2
"gadgets,",2
"equipment,",2
everything...,2
"pricey,",2
"containers,",2
reactive,2
"""how",2
available???,2
"dirty,",2
"compare,",2
exeland,2
mildly,2
✌🏿,2
navigate!!,2
kink,2
collaborate,2
john's,2
excelle,2
crashing!!,2
wors.,2
"exclusive,",2
app🥰🥰,2
peferct,2
"directions,",2
account!!,2
peeled,2
allegedly,2
deliverey,2
spreading,2
viral,2
loove,2
aback,2
friendly..i,2
wooden,2
magical,2
"stock,you",2
sorting.,2
"convinient,i",2
untrustworthy.,2
",,,!!!",2
minds,2
"16th,",2
gives.,2
😁😁😁😁😁😁,2
12pm.,2
(21,2
appalled.,2
71,2
residents,2
compact,2
external,2
dreaming,2
5th.,2
sparse.,2
'contact,2
"understanding,",2
percentages,2
"tree,",2
drlivery,2
legal.,2
inconsistency,2
incident.,2
"goood,",2
ref:,2
lsm,2
promo.,2
"app.,",2
rubish,2
joke?,2
populating,2
stuggling,2
tiny.,2
benoni,2
lie),2
earmarked,2
bruh.,2
soccer,2
sought,2
"""sixty""",2
wonderfully!,2
understands,2
"good,and",2
tem,2
gem.,2
"fashioned,",2
mike,2
indefinitely.,2
late!!!!,2
efficience,2
visit.,2
bassonia,2
"bit,",2
horizontally,2
gold.,2
vintage,2
s4.,2
sincere,2
sized,2
bandwidth.,2
suger,2
"barrier,",2
them.they,2
"images,",2
66,2
"days""",2
brain.,2
gouda,2
doorsteps.,2
looses,2
app..thanks,2
18:30,2
off!!!!,2
alarm,2
stappe,2
noticeable,2
benifit,2
wildly,2
woolworths!!,2
paints,2
"app,takealot",2
"👍,",2
pane,2
access!,2
sarvice,2
gained,2
gearbest,2
reveal,2
plse,2
wkth,2
bew,2
irritation.,2
version:,2
puchase,2
consideration!,2
relentlessly,2
8k,2
💯❤️,2
"umlazi,",2
"iu,",2
down....,2
won't.,2
app😒,2
craft,2
last-minute,2
"struggles,",2
chatbot,2
😭😭😭😭,2
gram,2
perfection!,2
😡😡😡😡😡,2
afar.,2
viva,2
focaccia,2
😡😡😡😡😡😡,2
floating,2
bloating,2
app.user,2
whenever.,2
vote,2
glasses,2
opt-in,2
"app,for",2
them),2
fronts.,2
resent,2
litterally,2
stock???,2
"opening,",2
"legit,",2
desember,2
firm,2
refundable,2
"estimated,",2
magazine.,2
fromtakealot,2
"aren't,",2
shane,2
liked.,2
touching,2
all-around,2
shud,2
warranties.,2
activating,2
practices,2
pissed.,2
eye.,2
hardworking,2
greed,2
robertson,2
headphone,2
👌and,2
3kg,2
app.a,2
amazed.,2
queenstown,2
nougat.,2
disputes,2
robbery!!,2
sad....,2
fashions,2
use;,2
ettienne,2
future!!!,2
"redeem,",2
reps,2
vosloorus,2
bigger.,2
aleays,2
🙏🥰,2
money's,2
"frequent,",2
"materials,",2
"fast,i",2
picture.,2
p8,2
complaints!!!,2
carrim,2
takeaways,2
"startup,",2
order(s).,2
toaster,2
grea,2
"driven,",2
"august,",2
harsh,2
check-out.,2
hasel,2
girl.,2
urgency,2
expected),2
watch.,2
😢.,2
scummy,2
acrylic,2
transections,2
changer...,2
afte,2
other's,2
non-food,2
communicates,2
"wife,",2
uncool,2
aspects.,2
exchanges/returns,2
consumes,2
"crucial,",2
failures.,2
urs,2
account..it,2
3months.,2
inline,2
kak!,2
04.01.25,2
trick,2
remark,2
subscribers,2
interfere,2
geweldig,2
😡.,2
unanswered,2
wheel.,2
suid,2
namibia.,2
reasoning,2
janu-worry,2
formed,2
"loyal,",2
😀😉,2
38,2
i`m,2
matter?,2
addictive!!!,2
ribs,2
"overseas,",2
nifty,2
r39,2
"""takealot",2
invisible,2
"answered,",2
replacement!,2
muxh,2
phase,2
maggie,2
portrait,2
retails,2
d-miles,2
"interest,",2
🙏🏾,2
"order,but",2
16h47,2
"iphone,",2
later?,2
encouraging,2
implies,2
jars,2
whatsappp,1
categories).,1
👎😣,1
4pm).,1
"montreal,",1
compares.,1
"""shopped""",1
service🙏👌,1
side...whatever,1
shuffled.,1
orders.i,1
stock!!!!!,1
feta,1
"downhill,",1
stocks!!!!!the,1
luck.nx,1
"irritation,",1
shuffle,1
today!!!,1
into',1
'they,1
"bad,worse",1
"8.10am,",1
aervice!,1
comprehended,1
canada.,1
rugani,1
all??,1
"""were",1
faeri,1
glen.,1
joke...,1
"it""!",1
afternoon!!!!!,1
only?,1
line).,1
boiling,1
slices),1
switch/swap,1
hamper,1
"review""",1
hosting.,1
"👏,",1
chunk,1
"individually,",1
incovinienting,1
'up,1
jarring.,1
market',1
audience.,1
store...there,1
thkyu,1
choppy,1
ordering).,1
5.99,1
item????,1
'live,1
for:,1
zflip,1
secretly,1
tldr:,1
vastly.,1
eventual,1
live-tracking,1
"""alternate",1
(26/12/2020):,1
non-halaal,1
hangs/freezes,1
item&alternative,1
severly,1
case).,1
gamechanger.,1
very...very,1
slashed,1
"into,",1
foot.,1
moller.,1
socal,1
homebound,1
outshines,1
rose.,1
wolftrap,1
guys.....,1
re-directed,1
__________________________________________,1
driver's.,1
alternative...,1
"store.,.....",1
helo,1
"ring,",1
management!!!!!;,1
live-track,1
"user-friendly,and",1
re-order.however,1
couldn't.,1
"volume""",1
received.it,1
"response.""",1
delivery!],1
[which,1
leeanne,1
"""human",1
bitten.,1
demand?,1
again!!!!!!,1
brings.,1
eger,1
"mid-way,",1
3/12/2020:,1
stuff....the,1
alternative....it,1
"59.95,",1
9ver,1
pricing.for,1
fie,1
notified?,1
morning-still,1
pii,1
anable,1
unacceptable!!!!!,1
txs,1
17.38.,1
have!!!!!,1
#2,1
(eventhough,1
stupidity,1
feedback).,1
instead..,1
ironically,1
underwhelmed.,1
hillcrest.,1
pre-charge,1
onecart),1
buy).,1
atar),1
(3/07/2020,1
listed?,1
flavours/types,1
vitamins).,1
(slowmag,1
impairment.,1
(r2300).,1
"msg""",1
through.then,1
"""type",1
spates,1
homes,1
doorbell.,1
lionel,1
",99,",1
"r838,",1
"r38,99",1
(whatsapp),1
os.,1
18:57,1
fenced,1
delivery...great,1
"wowww,",1
"unbearable,",1
agonizing,1
entries,1
"popcorn,",1
disinterested,1
baged,1
eras,1
taylor,1
quota,1
"r214,95,",1
staples.,1
"forgetful,",1
elaborate,1
1:1,1
googleplay?,1
desirable.,1
mindfully.,1
"unprofessionalism,",1
"contrastingly,",1
launch/loading.,1
bo**les/zulzi.,1
bank🤔,1
payment?????,1
"expanding,",1
haves'.,1
thicker,1
'nice,1
"bone,",1
authed,1
packedthe,1
these?,1
come!,1
discovery!!,1
"hammers,",1
"call-centre,",1
enduring,1
rating?,1
selector,1
'....,1
loading..you,1
placed?,1
happens..a,1
and....,1
resrrved,1
mwine,1
uttely,1
"sticky,",1
60+60.,1
xtreme,1
"kilometer,",1
ussd),1
resort),1
but.....,1
filtering/sorting,1
siftwsre,1
item...e.g.,1
qpproval,1
"movement,",1
unoperational,1
app????????!!!!,1
reloading.,1
independently.,1
well-packed,1
s10e.,1
pay...yet,1
shopping...i,1
publically.,1
should!,1
wobble,1
example...so,1
deets,1
contract),1
checkers/pnp/spar,1
us...',1
terminate,1
break-up,1
it'it,1
decaf,1
amaphara?,1
stipulates,1
variants.,1
change😔,1
"whoop,",1
golden.,1
"implemented,",1
sjambok!,1
hauwei's?,1
basil,1
"chilli,",1
4-year,1
fresh),1
(mainly,1
boneless,1
off(less,1
pm😔.,1
superfast!,1
decimals,1
through..no,1
projects.,1
pricing...it's,1
9:20,1
immed.,1
mkes,1
checked).,1
checkers🤟🏽,1
"dishonest,",1
automated).,1
"30min),",1
"out),",1
(irrelevant,1
likeness,1
conscious),1
soshanguve,1
(budget,1
service).,1
big/small?,1
higher-end,1
checkera,1
26/09/2024,1
item(padkos,1
app.with,1
alternative.unfortunately,1
s21.,1
to.say,1
product(fresh,1
well.this,1
suggestion-have,1
option.),1
se.,1
"""request",1
stems,1
meaningless,1
unpremium,1
honeat,1
"sixty,your",1
earded,1
staŕ,1
cooking),1
"wilted,",1
suento,1
reimbursing,1
inadequate.,1
arse,1
hopelessly,1
habits...,1
personalizing,1
agrivation,1
"happening""",1
"""cannot",1
elbow.,1
sand,1
"smash,",1
(system,1
respect!,1
unknowingly,1
employed.,1
a12),1
lower-end,1
secunda.,1
savingscard,1
flagging,1
completed....,1
e-mails.,1
e-mailing,1
quits,1
10-15mins,1
"""more",1
swifter,1
creepy.,1
autistic,1
maturity.,1
verywell,1
aper,1
"feb,.they",1
102,1
demotivator.,1
processed?,1
recovering,1
groseries,1
"items"".",1
pumpkin-why,1
dire,1
ice-cream..?,1
update/face,1
contacted.this,1
begged,1
(both,1
sixtu60,1
prayers,1
30km,1
valid...,1
goated.,1
possible),1
i'am,1
september?,1
puffs,1
expansion.,1
dishonestly,1
chuckles,1
marketing!,1
'lasagne',1
honing,1
****!,1
totalling,1
add;,1
"""select",1
"critical,",1
r223,1
r750.,1
nuts!,1
servers.,1
hosting,1
insteas,1
"execution,",1
"beter,",1
foni,1
15:29,1
"16:34,",1
handy!,1
ditching,1
times🫤,1
masenga:,1
slapgat,1
"hostile,",1
updtate:,1
"unpleasant,",1
struggling.,1
4g.,1
180/180,1
option'.as,1
'filtering,1
improvements...,1
overally,1
f#$%^&*,1
needy,1
thumbs-up!,1
lot.some,1
30product,1
5hours,1
dog.,1
"awry,",1
impressed.my,1
+.,1
3rdly...,1
pot.,1
sies.,1
11:54,1
pool.,1
ethical.,1
products??,1
favourite/wish,1
unintelligent,1
alternative....,1
screenshot.,1
1/11/2022the,1
18/7/2023,1
"condescending,",1
'swap,1
however...,1
brands?!?!?!,1
resolved...,1
kraaifontein?,1
"bended,",1
troubleshoot...,1
contact...but,1
"four,",1
own),1
plk....,1
"ain't,",1
lose...,1
skull,1
pack/18,1
improved:,1
time.....could,1
lettuce...,1
👍👍👍👍👍.,1
pair.,1
wicode,1
6:37.,1
........fail,1
'delivered',1
60/60-,1
tissues.,1
6:38.,1
pack/4,1
sucked,1
voila.,1
conscientious,1
shower).,1
8:40,1
delivery/eta,1
patching?,1
a5.,1
expired-you,1
count.tk,1
(plural),1
miriam,1
'credit',1
enough-,1
products🤮🤮🤮🤮,1
hmmmm,1
woolies..,1
dryer,1
tumble,1
"items,expired",1
pittance,1
nadeem,1
tat.,1
others!!!,1
coustomer,1
🤬.,1
reimbursment,1
fee!).,1
(minus,1
"praise,",1
purchase:,1
ankle,1
r558,1
"improvements"".",1
"""stability",1
dropouts.,1
"&...""",1
wee,1
protip,1
agenda.,1
"""simba",1
chips?,1
pluss,1
popia...,1
still:,1
populates,1
supreme.,1
repetitively,1
"needs.sincerely,",1
supercedes,1
now...it's,1
martin,1
pleading,1
animations-take,1
re-evaluate,1
items-which,1
nèd,1
downloads.,1
stock...dischem,1
dudu,1
tommorrow.,1
designer.,1
1.the,1
expanding.,1
pap.,1
3hour,1
truthfully,1
"behalf,",1
"""is",1
"adjust,",1
comments:,1
untested,1
tippin,1
app's.,1
"if""",1
inconsequent.,1
correlating,1
stranger.,1
"granted,",1
horribly!,1
billing.,1
r191.,1
goods.even,1
laboriously,1
better..,1
"sir,",1
ecerytime,1
tardiness.,1
17h53,1
away).,1
day/week.,1
"antiquated,",1
ridiculous-,1
irony,1
"understaffed,",1
working......whats,1
"disgrace,",1
annoyed🙄,1
bag?'.,1
'need,1
14th.,1
fine!!,1
shhh,1
paid),1
invalid???,1
use...iv,1
j.,1
dreyer,1
grinded,1
afternoons.,1
r700!!,1
millies,1
5kg,1
"deliveries,but",1
old/rotten,1
instance),1
today.just,1
2.the,1
"meats,fruits,",1
easpecially,1
dialog.,1
"gateway,",1
include:,1
"press,",1
"principle,",1
"""support""",1
despair.,1
desolation,1
paking,1
expanse,1
relegated,1
"retro,",1
sout,1
"""support"".",1
boxed-in,1
8h42,1
replenish,1
"admin,",1
"generic,",1
deliveries???,1
[reply],1
"né!""",1
incentivize,1
referral,1
12!!!!,1
descent,1
vehicle....dodge,1
efficient....prompt,1
one...the,1
"sales/specials,but",1
knowledge?,1
immediacy,1
adored,1
bread).,1
60plus,1
plus...,1
crushables(,1
breakables,1
refund!!!!!,1
efficient....and,1
apparantly,1
25mins.,1
reservation.,1
r127.96,1
mathematics.,1
846am,1
"reliable,convenient",1
16h.,1
14h,1
made...love,1
10.04am,1
debate,1
weighted,1
packeted,1
sry,1
"""orders",1
prolong,1
desturbing,1
"interns,",1
volunteer,1
amendments.,1
transport/means,1
"""you'll",1
know',1
